"Story","Title","Result","Date","Stability","Duration (s)"
"Book item already booked test","Book item already booked test","ERROR","2018-08-09T14:25:54.932+03:00","0.0","6.57"
"Book item test","Book item test","ERROR","2018-08-10T11:52:47.119+03:00","0.0","8.78"
"Book items from different categories test","Book items from different categories test","ERROR","2018-08-09T12:01:59.614+03:00","0.0","0.53"
"Book items from same category test","Book items from same category test","ERROR","2018-08-09T12:01:50.459+03:00","0.0","7.73"
"Book returned item test","Book returned item test","ERROR","2018-08-09T12:02:04.020+03:00","0.0","1.19"
"Check user registration on admin","Check user registration on admin","FAILURE","2018-08-13T16:44:19.480+03:00","0.0","51.25"
"User registration test","Execute test","SUCCESS","2018-08-13T13:43:20.449+03:00","0.0","35.03"
"Return item test","Return item test","ERROR","2018-08-09T14:21:34.999+03:00","0.0","1.47"
"Return multiple items test","Return multiple items test","ERROR","2018-08-09T12:01:46.976+03:00","0.0","1.77"
